"","tailnum","year_plane","type","manufacturer","model","engines","seats","speed","engine"
"620","N33182",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"621","N33203",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"622","N33209",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"623","N33262",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"624","N33264",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"625","N33266",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"626","N33284",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"627","N33286",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"628","N33289",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"629","N33292",NA,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"630","N33294",2005,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"631","N332AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"632","N334JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"633","N335AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"634","N336AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"635","N336AT",2008,"Fixed wing multi engine","BOEING","737-7BD",2,149,NA,"Turbo-fan"
"636","N33714",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"637","N337JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"638","N338AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"639","N338AT",2008,"Fixed wing multi engine","BOEING","737-7BD",2,149,NA,"Turbo-fan"
"640","N338NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"641","N339AA",1988,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"642","N339JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"643","N339NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"644","N340LV",1987,"Fixed wing multi engine","BOEING","737-3K2",2,149,NA,"Turbo-jet"
"645","N340NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"646","N34110",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"647","N34111",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"648","N34131",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"649","N34137",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"650","N341NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"651","N34222",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"652","N34282",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"653","N342NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"654","N343NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"655","N34455",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"656","N34460",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"657","N344NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"658","N344SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"659","N345NB",NA,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"660","N345SA",1987,"Fixed wing multi engine","BOEING","737-3K2",2,149,NA,"Turbo-jet"
"661","N346JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"662","N346NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"663","N346SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"664","N347NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"665","N347SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"666","N348JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"667","N348NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"668","N349NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"669","N349SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"670","N350SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"671","N351AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"672","N351JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"673","N351NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"674","N35204",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"675","N35260",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"676","N35271",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"677","N352AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"678","N352NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"679","N352SW",1990,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"680","N353AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"681","N353AT",2009,"Fixed wing multi engine","BOEING","737-7BD",2,149,NA,"Turbo-fan"
"682","N353JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"683","N353NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"684","N353SW",1990,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"685","N35407",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"686","N354AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"687","N354JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"688","N354NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"689","N354SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"690","N355AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"691","N355JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"692","N355NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"693","N355SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"694","N356SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"695","N357AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"696","N357NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"697","N357SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"698","N358AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"699","N358JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"700","N358NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"701","N358SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"702","N359AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"703","N359NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"704","N359SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"705","N360AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"706","N360NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"707","N360SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"708","N361AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"709","N361NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"710","N361SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"711","N361VA",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"712","N36207",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"713","N36247",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"714","N36272",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"715","N36280",2003,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"716","N362AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"717","N362NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"718","N362SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"719","N363AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"720","N363NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"721","N363SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"722","N36444",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"723","N36447",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"724","N36469",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"725","N36472",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"726","N36476",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"727","N364NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"728","N364SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"729","N365NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"730","N365SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"731","N366AA",1991,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"732","N366NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"733","N366SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"734","N367SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"735","N368AA",1991,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"736","N368JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"737","N368NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"738","N368SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"739","N36915",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"740","N369AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"741","N369NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"742","N369SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"743","N370AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"744","N370NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"745","N370SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"746","N371AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"747","N371DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"748","N371NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"749","N371SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"750","N37252",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"751","N37253",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"752","N37255",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"753","N37263",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"754","N37267",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"755","N37273",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"756","N37274",2002,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"757","N37277",2002,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"758","N37281",2003,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"759","N37287",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"760","N37290",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"761","N37293",2005,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"762","N37298",2005,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"763","N372AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"764","N372DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"765","N372SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"766","N3730B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"767","N3731T",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"768","N3732J",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"769","N3733Z",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"770","N3734B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"771","N3735D",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"772","N3736C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"773","N3737C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"774","N3738B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"775","N3739P",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"776","N373AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"777","N373DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"778","N373JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"779","N373SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"780","N37408",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"781","N37409",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"782","N3740C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"783","N37413",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"784","N37419",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"785","N3741S",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"786","N37420",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"787","N37422",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"788","N37427",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"789","N3742C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"790","N37434",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"791","N37437",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"792","N3743H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"793","N3744F",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"794","N37456",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"795","N3745B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"796","N37462",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"797","N37464",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"798","N37465",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"799","N37466",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"800","N37468",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"801","N3746H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"802","N37470",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"803","N37471",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"804","N37474",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"805","N3747D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"806","N3748Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"807","N3749D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"808","N374AA",1992,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"809","N374DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"810","N374JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"811","N374SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"812","N3750D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"813","N3751B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"814","N3752",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"815","N3753",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"816","N3754A",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"817","N3755D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"818","N3756",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"819","N3757D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"820","N3758Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"821","N3759",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"822","N375DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"823","N375JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"824","N375NC",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,NA,"Turbo-fan"
"825","N375SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"826","N3760C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"827","N3761R",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"828","N3762Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"829","N3763D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"830","N3764D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"831","N3765",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"832","N3766",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"833","N3767",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"834","N3768",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"835","N3769L",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"836","N376DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"837","N376NW",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,NA,"Turbo-fan"
"838","N376SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"839","N37700",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"840","N3771K",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"841","N3772H",2010,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"842","N3773D",2010,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"843","N377DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"844","N377NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,NA,"Turbo-fan"
"845","N378DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"846","N378NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,NA,"Turbo-fan"
"847","N378SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"848","N379AA",1993,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"849","N379DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"850","N379SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"851","N380DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"852","N380HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"853","N380SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"854","N381DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"855","N381HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"856","N38257",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"857","N38268",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"858","N382DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"859","N382HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"860","N382SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"861","N383DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"862","N383HA",2011,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"863","N383SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"864","N38403",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"865","N38417",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"866","N38424",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"867","N38443",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"868","N38446",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"869","N38451",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"870","N38454",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"871","N38458",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"872","N38459",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"873","N38467",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"874","N38473",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"875","N384AA",1993,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"876","N384DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"877","N384HA",2011,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"878","N384SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"879","N385DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"880","N385HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"881","N386AA",1994,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"882","N386DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"883","N386HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"884","N386SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"885","N38727",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"886","N387DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"887","N387SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"888","N388AA",1995,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"889","N388DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"890","N388HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"891","N388SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"892","N389AA",1995,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
"893","N389DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"894","N389HA",NA,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"895","N389SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"896","N390AA",1995,"Fixed wing multi engine","BOEING","767-323",2,330,NA,"Turbo-fan"
